2020/2/22,33,0,0,2,0
2020/2/23,132,0,0,2,1
2020/2/24,230,0,1,7,2
2020/2/25,283,0,1,7,3
2020/2/26,374,0,1,12,4
2020/2/27,528,0,40,14,5
2020/2/28,653,0,45,17,6
2020/2/29,889,0,46,21,7
2020/3/1,1128,0,50,29,8
2020/3/2,1731,0,83,42,9
2020/3/3,2084,0,149,52,10
2020/3/4,2546,0,160,79,11
2020/3/5,3144,0,276,107,12
2020/3/6,3927,0,414,148,13
2020/3/7,4680,0,523,197,14
2020/3/8,6092,0,589,233,15
2020/3/9,7424,0,622,366,16
2020/3/10,9172,0,724,463,17
2020/3/11,10293,0,1004,631,18
2020/3/12,12462,0,1045,827,19
2020/3/13,15385,0,1258,1016,20
2020/3/14,17660,0,1439,1266,21
2020/3/15,21270,0,1966,1441,22
2020/3/16,24938,0,2335,1809,23
2020/3/17,27980,0,2749,2158,24
2020/3/18,31506,0,2941,2503,25
2020/3/19,36455,0,4025,2978,26
2020/3/20,41035,0,4440,3405,27
2020/3/21,47449,0,5129,4032,28
2020/3/22,53578,0,6072,4825,29
2020/3/23,59138,0,7024,5476,30
